journal,impact_factor,impact_factor_year,impact_factor_source,issn,eissn,note,paper_count,lookup_journal,normalized_journal,normalized_lookup_journal,match_status,source_url,verification_status
Industrial &amp; Engineering Chemistry Research,3.9,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Industrial & Engineering Chemistry Research,industrial &amp engineering chemistry research,industrial & engineering chemistry research,html_entity_variant,https://www.ablesci.com/journal/detail?id=rRlZW5,filled_verified
Industrial Chemistry & Materials Ind. Chem. Mater.,15.7,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Industrial Chemistry & Materials,industrial chemistry & materials ind chem mater,industrial chemistry & materials,alias_or_suffix_variant,https://www.ablesci.com/journal/detail?id=rRzEAr,filled_verified
Interdisciplinary materials,,,,,,No reliable IF page recovered in current lookup; leave blank pending manual verification.,1,Interdisciplinary materials,interdisciplinary materials,interdisciplinary materials,exact_string,,unresolved
Journal of Energy Chemistry,15.6,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Journal of Energy Chemistry,journal of energy chemistry,journal of energy chemistry,exact_string,https://www.ablesci.com/journal/detail?id=pPYMB5,filled_verified
Journal of the American Chemical Society,16.6,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Journal of the American Chemical Society,journal of the american chemical society,journal of the american chemical society,exact_string,https://www.ablesci.com/journal/detail?id=pnGnw5,filled_verified
Molecules,5.1,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Molecules,molecules,molecules,exact_string,https://www.ablesci.com/journal/detail?id=DXvd1p,filled_verified
Nano Research Energy,,,,,,AbleSci page shows no IF yet.,1,Nano Research Energy,nano research energy,nano research energy,exact_string,https://www.ablesci.com/journal/detail?id=DbxQVp,no_if_listed
Nano Select,3.5,2025,ablesci_2025-06-18,,,AbleSci page surfaced 2025 latest IF in search snippet.,1,Nano Select,nano select,nano select,exact_string,https://www.ablesci.com/journal/detail?id=rzEmkD,filled_verified
npj Materials Sustainability,,,,,,No reliable IF page recovered in current lookup; leave blank pending manual verification.,1,npj Materials Sustainability,npj materials sustainability,npj materials sustainability,exact_string,,unresolved
npj Quantum Materials npj Quantum Mater.,6.6,2026,ablesci_2026-06-17,,,Alias row mapped to npj Quantum Materials using the same verified IF.,1,npj Quantum Materials npj Quantum,npj quantum materials npj quantum mater,npj quantum materials npj quantum,alias_or_suffix_variant,https://www.ablesci.com/journal/detail?id=5jNMV5,filled_verified
Physical Chemistry Chemical Physics,3,2026,ablesci_2026-06-17,,,"AbleSci latest IF page, published 2026-06-17.",1,Physical Chemistry Chemical Physics,physical chemistry chemical physics,physical chemistry chemical physics,exact_string,https://www.ablesci.com/journal/detail?id=52a68p,filled_verified
Topics in Catalysis,3,2025,ablesci_2025-06-18,,,AbleSci page surfaced 2025 latest IF in search snippet.,1,Topics in Catalysis,topics in catalysis,topics in catalysis,exact_string,https://www.ablesci.com/journal/detail?id=5Nbyb5,filled_verified
ACS Catalysis ACS Catal.,13.6,2026,ablesci_2026-06-17,,,"Alias row mapped to ACS Catalysis using the same verified IF.",2,ACS Catalysis,acs catalysis acs catal,acs catalysis,alias_or_suffix_variant,https://www.ablesci.com/journal/detail?id=DMLO65,filled_verified
ACS Nano ACS Nano,16,2025,ablesci_2025-06-18,,,"AbleSci search results page shows 2025 IF for ACS Nano.",1,ACS Nano,acs nano acs nano,acs nano,alias_or_suffix_variant,https://www.ablesci.com/journal/index?keywords=ACS+Nano&order=if_desc,filled_verified
Acta Materialia Acta Materialia,9.3,2024,wikipedia_jcr_2024,,,"Wikipedia cites 2024 Journal Citation Reports for Acta Materialia.",1,Acta Materialia,acta materialia acta materialia,acta materialia,alias_or_suffix_variant,https://en.wikipedia.org/wiki/Acta_Materialia,filled_verified
Advanced Functional Materials Adv Funct Materials,19,2024,wikipedia_jcr_2024,,,"Wikipedia cites 2024 Journal Citation Reports for Advanced Functional Materials.",2,Advanced Functional Materials,advanced functional materials adv funct materials,advanced functional materials,alias_or_suffix_variant,https://en.wikipedia.org/wiki/Advanced_Functional_Materials,filled_verified
Advanced Science Advanced Science,14.1,2025,ablesci_2025-06-18,,,"AbleSci search results page shows 2025 IF for Advanced Science.",2,Advanced Science,advanced science advanced science,advanced science,alias_or_suffix_variant,https://www.ablesci.com/journal/index?keywords=Advanced+Science&order=if_desc,filled_verified
Angewandte Chemie International Edition Angew Chem Int Ed,17.6,2026,ablesci_2026-06-17,,,"Alias row mapped to Angewandte Chemie International Edition using the same verified IF.",1,Angewandte Chemie International Edition,angewandte chemie international edition angew chem int ed,angewandte chemie international edition,alias_or_suffix_variant,https://www.ablesci.com/journal/detail?id=grRvAr,filled_verified
Chemical Engineering Journal Chemical Engineering Journal,12.5,2026,ablesci_2026-06-17,,,"Alias row mapped to Chemical Engineering Journal using the same verified IF.",1,Chemical Engineering Journal,chemical engineering journal chemical engineering journal,chemical engineering journal,alias_or_suffix_variant,https://www.ablesci.com/journal/index?keywords=Chemical+Engineering+Journal&order=if_desc,filled_verified
Chemical Society Reviews Chem. Soc. Rev.,39,2024,wikipedia_jcr_2024,,,"Wikipedia cites 2024 Journal Citation Reports for Chemical Society Reviews.",1,Chemical Society Reviews,chemical society reviews chem soc rev,chemical society reviews,alias_or_suffix_variant,https://en.wikipedia.org/wiki/Chemical_Society_Reviews,filled_verified
ChemSusChem ChemSusChem,6.6,2024,wikipedia_jcr_2024,,,"Wikipedia cites 2024 Journal Citation Reports for ChemSusChem.",1,ChemSusChem,chemsuschem chemsuschem,chemsuschem,alias_or_suffix_variant,https://en.wikipedia.org/wiki/ChemSusChem,filled_verified
Energy Storage Materials Energy Storage Materials,18.9,2023,wikipedia_jcr_2023,,,"Wikipedia cites 2023 Journal Citation Reports for Energy Storage Materials.",1,Energy Storage Materials,energy storage materials energy storage materials,energy storage materials,alias_or_suffix_variant,https://en.wikipedia.org/wiki/Energy_Storage_Materials,filled_verified
Journal of the American Chemical Society J. Am. Chem. Soc.,16.6,2026,ablesci_2026-06-17,,,"Alias row mapped to Journal of the American Chemical Society using the same verified IF.",4,Journal of the American Chemical Society,journal of the american chemical society j am chem soc,journal of the american chemical society,alias_or_suffix_variant,https://www.ablesci.com/journal/detail?id=pnGnw5,filled_verified
Nano Research Nano Res.,9.5,2023,wikipedia_jcr_2023,,,"Wikipedia cites 2023 Journal Citation Reports for Nano Research.",1,Nano Research,nano research nano res,nano research,alias_or_suffix_variant,https://en.wikipedia.org/wiki/Nano_Research,filled_verified
Small Small,11.8,2026,ablesci_2026-06-17,,,"AbleSci search results page shows 2026 IF for Small.",1,Small,small small,small,alias_or_suffix_variant,https://www.ablesci.com/journal/index?keywords=Small&order=if_desc,filled_verified
The Journal of Physical Chemistry Letters J. Phys. Chem. Lett.,4.8,2023,wikipedia_jcr_2023,,,"Wikipedia cites 2023 Journal Citation Reports for The Journal of Physical Chemistry Letters.",1,The Journal of Physical Chemistry Letters,the journal of physical chemistry letters j phys chem lett,the journal of physical chemistry letters,alias_or_suffix_variant,https://en.wikipedia.org/wiki/The_Journal_of_Physical_Chemistry_Letters,filled_verified
